 ID	Loại test	Tên test case	Điều kiện tiên quyết	Dữ liệu test	Các bước test	Kết quả mong muốn	Kết quả thực tế	Trạng thái	Người test	Ngày test	Nhận xét
UT-PRO-04	Test Unit	Sai mật khẩu hiện tại	User đã đăng nhập	current="wrong" action="updatePassword"	1. Mock user.password="123" 2. Gọi doPost()	Không gọi update() Message="Mật khẩu hiện tại không đúng."		Not Executed	Minh Hiếu	30/1/2026	
UT-PRO-05	Test Unit	Update avatar thành công	User đã đăng nhập	part.size > 0 action="updateAvatar"	1. Mock getPart trả file hợp lệ 2. Gọi doPost()	Gọi update() 1 lần Message="Cập nhật avatar thành công!"		Not Executed	Minh Hiếu		
UT-PRO-06	Test Unit	Không chọn file avatar	User đã đăng nhập	part.size = 0 action="updateAvatar"	1. Mock getPart size=0 2. Gọi doPost()	Message="Vui lòng chọn file ảnh."		Not Executed	Minh Hiếu		
UT-PRO-07	Test Unit	Xóa avatar	User đã đăng nhập	action="deleteAvatar"	1. Gọi doPost()	Gọi update() 1 lần Message="Xóa avatar thành công!"		Not Executed	Minh Hiếu	30/1/2026	
UT-PRO-06	Test Auto	Chưa đăng nhập truy cập profile	Không có session		1. Mở /profile	Bị redirect về /login		Not Executed	Minh Hiếu		
SEL-PRO-01	Test Auto	Update profile thành công	User đã đăng nhập	- fullname="Nguyen Van A"	1. Vào /profile 2. Sửa fullname 3. Nhấn lưu	Hiển thị "Cập nhật thông tin hồ sơ thành công!"		Not Executed	Minh Hiếu	30/1/2026	
SEL-PRO-02	Test Auto	Đổi mật khẩu thành công	User đã đăng nhập	- current password="abcde",  - new password="456" - repeat password="456"	1. Nhập đúng current password 2. Nhập new password 3. Submit	Hiển thị "Đổi mật khẩu thành công!"		Not Executed	Minh Hiếu	30/1/2026	
SEL-PRO-03	Test Auto	Đổi mật khẩu sai	User đã đăng nhập	- current password="abcde",  - new password=""	1. Nhập sai current password 2. Submit	Hiển thị "Mật khẩu hiện tại không đúng."		Not Executed	Minh Hiếu	30/1/2026	
SEL-PRO-04	Test Auto	Không chọn file avatar	User đã đăng nhập		1. Chọn update avatar 2. Không chọn file 3. Submit	Hiển thị "Vui lòng chọn file ảnh."		Not Executed	Minh Hiếu	30/1/2026	
SEL-PRO-05	Test Auto	Xóa avatar	User đã đăng nhập		1. Nhấn "Xóa avatar"	Hiển thị "Xóa avatar thành công!"		Not Executed	Minh Hiếu		
Chức năng 5 : Tìm kiếm video											
AT-SEA-01	Test Auto	Luồng tìm kiếm thành công	UI hoạt động	"Hài"	1. Nhập từ khóa.2. Nhấn Search.	Hiển thị danh sách video và số lượng kết quả tương ứng trên giao diện.		Not Executed	Thái Học	30/1/2026	
AT-SEA-02	Test Auto	Kết hợp Tìm kiếm & Sắp xếp	UI hoạt động	"Phim", Chọn "A-Z"	1. Tìm "Phim".2. Thay đổi bộ lọc sắp xếp sang A-Z.	UI cập nhật thứ tự hiển thị của các video "Phim" theo bảng chữ cái.		Not Executed	Thái Học	30/1/2026	
UT-SEA-01	Test Unit	Tìm kiếm theo từ khóa hợp lệ	DB có ít nhất 1 video chứa từ "Java" trong tiêu đề.	q = "Java"	1. Gọi hàm search(q).2. Kiểm tra danh sách trả về.	list.size() > 0; Tất cả các phần tử có title chứa chuỗi "Java".		Not Executed	Thái Học	30/1/2026	
UT-SEA-02	Test Unit	Tìm kiếm với chuỗi rỗng	DB có dữ liệu video ở trạng thái "Active".	q = ""	1. Gọi hàm search(q).2. Đếm số lượng bản ghi.	Trả về toàn bộ danh sách video có thuộc tính active = true.		Not Executed	Thái Học	30/1/2026	
UT-SEA-03	Test Unit	Từ khóa không tồn tại trong hệ thống	Không có video nào chứa chuỗi "XYZ123".	q = "XYZ123"	1. Gọi hàm search(q).2. Kiểm tra kích thước list.	list.size() == 0 (Danh sách rỗng, không gây lỗi).		Not Executed	Thái Học	30/1/2026	
UT-SEA-04	Test Unit	Kiểm tra lỗ hổng SQL Injection	DAO sử dụng PreparedStatement hoặc ORM an toàn.	q = "' OR 1=1 --"	1. Truyền chuỗi tấn công vào hàm tìm kiếm.2. Kiểm tra kết quả trả về.	Hệ thống xử lý chuỗi dưới dạng văn bản thuần; Không trả về toàn bộ DB; Không lộ lỗi SQL.		Not Executed	Thái Học	30/1/2026	
UT-SEA-05	Test Unit	Sắp xếp lượt xem (Giảm dần)	DB có ít nhất 2 video với lượt xem khác nhau.	sort = "viewHtoL"	1. Gọi hàm tìm kiếm kèm tham số sort.2. So sánh views giữa các phần tử liên tiếp.	video[i].views >= video[i+1].views với mọi i.		Not Executed	Thái Học	30/1/2026	
UT-SEA-06	Test Unit	Sắp xếp lượt xem (Tăng dần)	DB có ít nhất 2 video với lượt xem khác nhau.	sort = "viewLtoH"	1. Gọi hàm tìm kiếm kèm tham số sort.2. So sánh views.	video[i].views <= video[i+1].views với mọi i.		Not Executed	Thái Học	30/1/2026	
UT-SEA-07	Test Unit	Sắp xếp theo mức độ yêu thích (Likes)	DB có dữ liệu về favoriteCount.	sort = "likeHtoL"	1. Gọi hàm tìm kiếm kèm tham số sort.2. Kiểm tra thứ tự favoriteCount.	Phần tử đứng trước luôn có favoriteCount lớn hơn hoặc bằng phần tử đứng sau.		Not Executed	Thái Học	30/1/2026	
UT-SEA-08	Test Unit	Sắp xếp theo tiêu đề (A-Z)	DB có các video với tiêu đề khác nhau.	sort = "AZ"	1. Gọi hàm tìm kiếm kèm tham số sort.2. So sánh chuỗi tiêu đề.	title[i].compareToIgnoreCase(title[i+1]) <= 0.		Not Executed	Thái Học	30/1/2026	
UT-SEA-09	Test Unit	Kiểm tra logic phân trang (Pagination)	DB có ít nhất 12 bản ghi.	page = 2, size = 6	1. Gọi hàm tìm kiếm với tham số phân trang.2. Kiểm tra dữ liệu trả về.	Trả về đúng 6 bản ghi, bắt đầu từ vị trí thứ 7 (offset = 6) trong tập kết quả.		Not Executed	Thái Học	30/1/2026	
UT-SEA-10	Test Unit	Kiểm tra không phân biệt chữ hoa/thường	DB có video tiêu đề "Hài kịch".	q = "hÀi"	1. Gọi hàm tìm kiếm với chuỗi chữ thường/có dấu.	Kết quả trả về chứa video "Hài kịch" (Giống kết quả khi tìm "HÀI").		Not Executed	Thái Học	30/1/2026	
Chức năng 6: Xem video											
AT-WAT-01	Test Auto	Kiểm tra hiển thị chi tiết video	Video ID tồn tại trong DB, Browser hỗ trợ Iframe.	ID = "V001"	1. Click vào poster video "V001".2. Chờ tải Iframe YouTube.	Chuyển đến URL /watch, hiển thị đúng Title và Iframe phát video tải thành công.		Not Executed	Thái Học	30/1/2026	
AT-ACT-01	Test Auto	Kiểm tra luồng tương tác Thích (Like)	Trạng thái: Đã đăng nhập, chưa thích video hiện tại.	Nhấn nút Like	1. Truy cập trang chi tiết video.2. Nhấn nút "Thích".	Nút chuyển trạng thái thành "Đã thích", xác minh DB tăng 1 bản ghi tại bảng favorite.		Not Executed	Thái Học	30/1/2026	
UT-WAT-01	Test Unit	Logic cập nhật hàm lượng lượt xem	Thực thể Video tồn tại trong DB.	v = "V001"	1. Mock videoDAO.findById trả về video có views = n.2. Gọi doGet().	Thuộc tính views của object tăng lên n+1. Hàm videoDAO.update(video) được thực thi.		Not Executed	Thái Học	30/1/2026	
UT-ACT-01	Test Unit	Ghi nhận hành động Like vào DB	Thực thể User tồn tại trong Session.	action = "like", videoId = "V001"	1. Mock session trả về User.2. Mock request chứa tham số.3. Gọi doPost().	Hàm favoriteDAO.create() được gọi đúng 1 lần với Object Favorite chứa UID và VID tương ứng.		Not Executed	Thái Học	30/1/2026	
UT-ACT-02	Test Unit	Xử lý nghiệp vụ chia sẻ qua Email	Cấu hình SMTP hoạt động, Session hợp lệ.	action = "share", email = "test@abc.com"	1. Mock session.2. Mock mailer.send() thực thi thành công.3. Gọi doPost().	Hàm shareDAO.create() được gọi. Trả về thông báo "Gửi mail thành công".		Not Executed	Thái Học	30/1/2026	
UT-ACT-03	Test Unit	Hủy bỏ bản ghi Thích (Unlike)	Thực thể Favorite tồn tại liên kết UID và VID.	action = "unlike", videoId = "V001"	1. Mock session trả về User.2. Mock request chứa tham số.3. Gọi doPost().	Hàm favoriteDAO.delete() được gọi đúng 1 lần. Bản ghi bị xóa khỏi cơ sở dữ liệu.		Not Executed	Thái Học	30/1/2026	
UT-WAT-02	Test Unit	Ghi nhận lịch sử xem (Authorized)	Đối tượng User hợp lệ trong Session context.	videoId = "V001"	1. Inject User vào Mock Session.2. Kích hoạt logic truy xuất /watch.	Hàm historyDAO.create() hoặc historyDAO.update() được gọi để ghi nhận thời gian (timestamp).		Not Executed	Thái Học	30/1/2026	
UT-WAT-03	Test Unit	Bỏ qua lịch sử xem (Unauthorized)	Không tồn tại định danh User (Guest).	videoId = "V001"	1. Thiết lập Mock Session trả về null.2. Kích hoạt logic truy xuất /watch.	Controller không kích hoạt historyDAO. Tần suất gọi hàm ghi nhận lịch sử là 0.		Not Executed	Thái Học	31/1/2026	
UT-ACT-04	Test Unit	Ràng buộc tính hợp lệ của tham số Email	Hệ thống đang xử lý yêu cầu Share.	email = "" (Chuỗi rỗng)	1. Tiêm payload với email rỗng vào request.2. Gọi doPost().	Logic validation chặn luồng thực thi, ném ngoại lệ hoặc trả về chuỗi "Vui lòng nhập Email". shareDAO không được gọi.		Not Executed	Thái Học	1/2/2026	
UT-WAT-04	Test Unit	Thuật toán truy xuất video đề xuất ngẫu nhiên	Tập dữ liệu mẫu trong DB >20 bản ghi.	currentId = "V001"	1. Gọi hàm videoDAO.findRecommended(V001).2. Phân tích List kết quả.	Tập hợp video trả về R thỏa mãn điều kiện R∩{V001}=∅ (Không chứa video đang phát).		Not Executed	Thái Học	30/1/2026	
UT-WAT-05	Test Unit	Quản lý ngoại lệ Video ID không hợp lệ	ID không ánh xạ tới bất kỳ bản ghi nào.	v = "INVALID"	1. Mock videoDAO.findById trả về null.2. Gọi doGet().	Hệ thống bắt ngoại lệ, thực thi HttpServletResponse.sendError(404) hoặc forward về trang cảnh báo.		Not Executed	Thái Học	30/1/2026	
UT-ACT-05	Test Unit	Xử lý ngoại lệ sự cố mạng SMTP (Gửi Mail)	Input hợp lệ nhưng dịch vụ Mailer phản hồi lỗi.	email = "test@abc.com"	1. Mock mailer.send() ném MessagingException.2. Gọi doPost().	Bắt lỗi Catch block, tiến trình không sụp đổ (crash). Ghi Log lỗi và không lưu bản ghi vào shareDAO.		Not Executed	Thái Học	30/1/2026	
Chức năng 7: Quán lí video											
SKI-001	Test Unit	Thêm video mới thành công	Đã đăng nhập bằng tài khoản Admin	youtubeId hợp lệ title hợp lệ video ≠ null	1. Tạo object Video 2. Gọi videoDAO.create(video) 3. Gọi findById()	Video được lưu thành công	Video được lưu thành công trong database, findById() trả về object hợp lệ.	Pass	Phương Trâm	30/1/2026	
SKI-002	Test Unit	Tìm video theo ID tồn tại	DB có video id = "V01"	id = V01	Gọi videoDAO.findById("V01")	Trả về video ≠ null	Hệ thống trả về thông tin video tương ứng với ID.	Pass	Phương Trâm	30/1/2026	
SKI-003	Test Unit	Tìm video theo ID không tồn tại	DB không có id	id = NOT_EXIST	Gọi findById()	Trả về null	Hệ thống trả về null đúng như mong đợi.	Pass	Phương Trâm	30/1/2026	
SKI-004	Test Unit	Cập nhật video thành công	Video tồn tại	title mới	1. Lấy video 2. Set title mới 3. Gọi update()	Title được cập nhật 	Title của video đã được cập nhật thành công trong database.	Pass	Phương Trâm	30/1/2026	
SKI-005	Test Unit	Tăng lượt xem video thành công	Video tồn tại	id hợp lệ	1. Gọi increaseViews(videoId) 2. Gọi lại findById(videoId) 3. So sánh số views trước và sau	Views tăng thêm 1	Views của video đã tăng thêm 1 trong database	Pass	Phương Trâm	30/1/2026	
SKI-006	Test Unit	Xóa video id không tồn tại	ID chưa tồn tại 	id fake	Gọi deleteById()	Không lỗi xảy ra	Không phát sinh exception khi xóa ID không tồn tại.	Pass	Phương Trâm	30/1/2026	
SKI-007	Test Unit	Tìm kiếm video theo title có kết quả	DB có video chứa keyword	keyword hợp lệ	Gọi searchByTitle(keyword)	List size > 0	Danh sách video trả về có số lượng > 0 và chứa keyword.	Pass	Phương Trâm	30/1/2026	
SKI-008	Test Unit	Tìm kiếm video theo title không có kết quả	DB không có keyword	banner = false	Update video setBanner(false)	isBanner = false	Danh sách trả về rỗng đúng như mong đợi.	Pass	Phương Trâm	30/1/2026	
SKI-009	Test Unit	Lấy danh sách tất cả video	Database đã có dữ liệu video	none	1. Gọi hàm dao.findAll() 2. Nhận danh sách video trả về 3. Kiểm tra danh sách khác null 4. Kiểm tra kích thước danh sách ≥ 0	Hệ thống trả về danh sách video Danh sách không null Không phát sinh lỗi	Hệ thống trả về danh sách video không null, kích thước hợp lệ.	Pass	Phương Trâm	30/1/2026	
SKI-010	Test Unit	Phân trang video	DB có > 10 video	offset=0, size=10	Gọi findPage()	Trả về đúng số lượng	Hệ thống trả về đúng số lượng video theo phân trang. 	Pass	Phương Trâm	30/1/2026	
SKI-011	Test Unit	Đếm tổng video	Có nhiều video	none	Gọi countAll()	count > 0	Hệ thống trả về tổng số video hợp lệ (> 0).	Pass	Phương Trâm	30/1/2026	
SKI-AT-001	Test Auto	Admin thêm video mới thành công	Đã login admin	youtubeId hợp lệ, title hợp lệ	1. Mở trang /admin/skit 2. Nhập form 3. Submit /save	Hiển thị "Thêm video thành công"	Video được thêm thành công, hiển thị thông báo thành công trên UI.	Pass	Phương Trâm	30/1/2026	
SKI-AT-002	Test Auto	Admin xóa video thành công	Admin đã đăng nhập thành công Trang /admin/skit đã mở Video cần xóa đã tồn tại trong danh sách	id: hợp lệ	1. Tìm video cần xóa trong bảng 2. Click nút Delete 3. Xác nhận hộp thoại confirm (nếu có) 4. Hệ thống gọi /admin/skit/delete 5. Trang reload danh sách	Video không còn xuất hiện trong danh sách Hiển thị thông báo xóa thành công Không phát sinh lỗi	Video đã bị xóa khỏi bảng sau khi confirm, danh sách được reload thành công.	Pass	Phương Trâm	30/1/2026	
Chức năng 8: Quản lý Banner											
BA-001	Test Unit	Lấy danh sách banner	Có video isBanner=true	banner = true	Gọi getBannerVideo()	List chỉ chứa banner	Hệ thống trả về danh sách chỉ gồm các video có isBanner = true.	Pass	Phương Trâm	30/1/2026	
BA-002	Test Unit	Gỡ Banner thành công	Video đang là Banner	id hợp lệ	Gọi removeBanner(videoId)	isBanner = false	Thuộc tính isBanner của video đã chuyển thành false thành công.	Pass	Phương Trâm	30/1/2026	
Chức năng 9: Quản lí Người dùng											
UM-01	Test Auto	Hiển thị danh sách user	Admin đã login		1. Truy cập trang Quản lí người dùng	Danh sách user trang 1	Hệ thống hiển thị trang User Management  cùng danh sách người dùng	Pass	Thúy Vy	30/1/2026	
UM-02	Test Auto	Phân trang hợp lệ	Admin đã đăng nhập, số lượng user > pageSize	page = 2	1. Truy cập trang Quản lý người dùng 2. Chuyển sang trang 2	Hiển thị trang 2	Hệ thống chuyển đến trang 2	Pass	Thúy Vy	30/1/2026	
UM-03	Test Auto	Page không hợp lệ	Admin đã login	page = 0	1. Truy cập trang Quản lý người dùng 2. Nhập page = 0 trên URL hoặc phân trang	Load trang 1	Hệ thống tự động đưa về page=1	Pass	Thúy Vy	30/1/2026	
UM-04	Test Auto	Tìm kiếm người dùng (keyword / role / keyword + role)	Admin đã đăng nhập, tồn tại user phù hợp với điều kiện tìm kiếm	1. q = an 2. role = ADMIN 3. q = an & role = ADMIN	1. Truy cập trang Quản lý người dùng 2. Nhập keyword hoặc chọn role (hoặc cả hai) 3. Nhấn Search	Hệ thống hiển thị danh sách người dùng phù hợp với điều kiện tìm kiếm	Danh sách hiển thị đúng theo từng điều  kiện	Pass	Thúy Vy	30/1/2026	
UM-05	Test Auto	Load user edit	Admin đã đăng nhập, user user01 tồn tại	id = user01	1. Truy cập trang Quản lý người dùng 2. Chọn Edit tại user user01	userEdit được set	Hệ thống hiển thị trang chỉnh sửa người  dùng với thông tin tương ứng	Pass	Thúy Vy	30/1/2026	
UM-06	Test Auto	Thêm user hợp lệ	Admin đã đăng nhập, ID user chưa tồn tại	id, password,  confirmPassword trùng	1. Truy cập trang Quản lý người dùng 2. Nhấn "Add new" 3. Nhập đầy đủ thông tin hợp lệ 4. Nhấn "Save"	Thêm thành công	Hệ thống hiển thị thông báo “Thêm người  dùng thành công!”	Pass	Thúy Vy	30/1/2026	
UM-07	Test Unit	Thêm user thiếu ID	Admin đã login	id = null hoặc rỗng	1. Nhấn "Add New" 2. Để trống ID 3. Nhấn "Save"	Báo lỗi	Hệ thống hiển thị thông báo lỗi “ID không  được để trống”	Pass	Thúy Vy	30/1/2026	
UM-08	Test Unit	Password không khớp	Admin đã login, ID user chưa tồn tại	password không khớp  confirmPassword	1. Nhấn "Add New" 2. Nhập Password và Confirm Password khác nhau 3. Nhấn "Save"	Báo lỗi	Hệ thống hiển thị thông báo lỗi “Mật khẩu  không khớp”	Pass	Thúy Vy	30/1/2026	
UM-09	Test Unit	Cập nhật user thành công	Admin đã login, user tồn tại	password mới,  confirmPassword trùng	1. Chọn "Edit User" 2. Nhập password mới 3. Nhấn "Save"	Báo lỗi	Hệ thống cập nhật password mới thành công và hiển thị thông báo “Cập nhật người dùng thành công!”	Pass	Thúy Vy	30/1/2026	
UM-10	Test Auto	Upload avatar	Admin đã login, user tồn tại, file hợp lệ	avatarFile != null	1. Chọn "Edit User" 2. Chọn file avatar hợp lệ 3. Nhấn "Save"	Avatar được lưu	Hệ thống cập nhật thành công và hiển thị  thông báo “Cập nhật người dùng thành  công”	Pass	Thúy Vy	30/1/2026	
UM-11	Test Unit	fullname null	Admin đã login, user tồn tại	fullname = null	1. Chọn "Edit User" 2. Xóa fullname 3. Nhấn "Save"	Báo lỗi	Hệ thống hiển thị thông báo “Fullname  không được để trống”	Pass	Thúy Vy	30/1/2026	
UM-12	Test Auto	Xóa user hợp lệ	Admin đã login, user user01 tồn tại, không phải admin	id = user01	1. Truy cập trang Quản lý người dùng 2. Chọn Delete tại user user01 3. Xác nhận xóa	Xóa thành công	Hệ thống hiển thị thông báo “Xóa thành  công” và người dùng không còn xuất hiện  trong danh sách	Pass	Thúy Vy	30/1/2026	
UM-13	Test Unit	Xóa admin chính	Admin đã login, tồn tại user admin	id = admin	1. Truy cập trang Quản lý người dùng 2. Chọn Delete tại user admin 3. Xác nhận xóa	Báo lỗi	Hệ thống hiển thị thông báo “Không được  xóa tài khoản admin chính"	Pass	Thúy Vy	30/1/2026	
Chức năng 10: Thống kê (Statistic)											
STA-001	Test Auto	Hiển thị mặc định Tab 1	- Admin đã đăng nhập		1.Truy cập /admin/statistics	Hiển thị Tab 1; activeTab là tab1. Load favoriteStatis.		Not Executed	Trung Hiếu	30/1/2026	
STA-002	Test Auto	Xem danh sách yêu thích theo tiêu đề	- Video có lượt thích.	- tab=favorite-users, favTitle="Java".	1. Chọn Tab 2, nhập "Java" và tìm kiếm.	Trả về danh sách User thích video chứa chữ "Java".		Not Executed	Trung Hiếu	30/1/2026	
STA-003	Test Unit	Tìm video không tồn tại	- Tiêu đề không có trong Data Base	- favTitle="No_Video"	1. Nhập tiêu đề lạ vào Tab 2 và tìm kiếm.	Danh sách favoriteUsers trả về rỗng, không báo lỗi.		Not Executed	Trung Hiếu	30/1/2026	
STA-004	Test Auto	Xem thống kê chia sẻ theo tiêu đề	- Video có lượt chia sẻ.	- tab=shared-friends, shareTitle="SQL"	1. Chọn Tab 3, nhập "SQL" và tìm kiếm.	Hiển thị danh sách người dùng đã chia sẻ video đó.		Not Executed	Trung Hiếu	30/1/2026	
STA-005	Test Auto	Kiểm tra dữ liệu Tab 1 luôn load	- Đang ở trang thống kê.	- Chuyển Tab.	1.Click qua lại giữa các Tab 1, 2, 3.	favoriteDAO.getFavoriteStatis() luôn chạy để cập nhật Tab 1.		Not Executed	Trung Hiếu	30/1/2026	
STA-006	Test Auto	Kiểm tra dữ liệu Tab 1 chính xác	- Data Base có dữ liệu yêu thích.		1. Xem thông tin Video tại Tab 1.	Hiển thị đúng: Tiêu đề, Số Like, Ngày đầu/cuối cùng.		Not Executed	Trung Hiếu	30/1/2026	
